animal,group,slice,y,x
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,163.82805429864254,1262.3348416289593
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,179.00513478819,1196.4069319640564
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,194.44226579520696,1386.3507625272332
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,206.67210144927537,1422.5307971014493
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,211.8095238095238,1238.3660714285713
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,227.08991596638654,1190.755462184874
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,255.48931116389548,1280.7197149643705
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,272.58156028368796,1390.6418439716313
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,289.20089285714283,1111.2068452380952
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,284.2201680672269,1164.270588235294
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,313.48017621145374,1381.5253303964757
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,297.6467661691542,1301.915422885572
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,305.2528604118993,1079.3615560640733
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,323.99719887955183,1457.2044817927172
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,323.9937369519833,1120.2025052192066
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,326.3272727272727,1199.7212121212121
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,344.9358047016275,1169.7070524412297
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,381.4284890426759,1292.1303344867358
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,369.79333333333335,1137.6755555555555
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,371.14868105515586,1252.282973621103
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,381.2971014492754,948.3079710144928
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,376.94594594594594,1423.847972972973
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,382.1951219512195,1396.1263858093128
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,391.44685990338166,1199.8490338164252
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,420.5740815502624,1350.2947113443681
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,409.6430155210643,1263.6474501108648
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,414.6485507246377,1172.5652173913043
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,424.25560538116594,1478.2170403587445
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,419.7574750830565,832.5448504983389
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,423.6639839034205,1224.2032193158955
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,433.1993243243243,1100.3783783783783
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,490.6448048476207,1270.006415968633
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,445.9031055900621,1145.0608695652174
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,448.6629834254144,1201.8259668508288
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,459.20344827586206,1082.0
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,478.765664160401,1176.1591478696741
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,486.0410557184751,1380.6891495601174
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,495.88693098384726,859.2863436123348
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,493.97472924187724,994.1317689530686
rat14.4,Gi,DCPP_14.4.2_10x_mCherry_10.24.22.jpg,496.28897338403044,1094.680608365019
